model,method,frac,checkpoint name,file path,best accuracy
Exp2/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 17:09:58.913595_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,58.250000
Exp2/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 17:19:00.191725_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,58.130000
Exp2/mobilenet,Cal,0.1,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 17:27:59.086263_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,56.780000
Exp2/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 17:37:00.216255_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,69.690000
Exp2/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 17:58:51.726724_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,71.430000
Exp2/mobilenet,Cal,0.5,CIFAR10_MobileNetV3Small_Cal_exp0_epoch200_2023-05-02 18:20:41.662137_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,69.430000
Exp2/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-02 18:54:33.842521_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,37.210000
Exp2/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-02 19:05:26.170006_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,41.670000
Exp2/mobilenet,ContextualDiversity,0.1,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-02 19:16:22.559817_0.1_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,37.690000
Exp2/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-02 19:27:29.919446_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,64.050000
Exp2/mobilenet,ContextualDiversity,0.5,CIFAR10_MobileNetV3Small_ContextualDiversity_exp0_epoch200_2023-05-02 19:50:55.682206_0.5_,/projectnb/ds563/hsharma/DeepCore/Exp2/mobilenet,60.170000
